facile	0	cinéma	3
facile	0	science	1
facile	0	sport	3
facile	1	cinéma	5
facile	1	géographie	4
facile	1	histoire	7
facile	1	musique	6
facile	1	science	8
facile	1	sport	7
facile	0	cinéma	1
facile	0	géographie	2
facile	0	histoire	2
facile	0	musique	2
facile	0	science	2
facile	0	sport	3
facile	1	cinéma	6
facile	1	géographie	6
facile	1	histoire	3
facile	1	musique	4
facile	1	science	8
facile	1	sport	14
moyen	0	cinéma	5
moyen	0	géographie	5
moyen	0	histoire	5
moyen	0	musique	3
moyen	0	science	5
moyen	1	cinéma	2
moyen	1	géographie	3
moyen	1	histoire	6
moyen	1	musique	5
moyen	1	science	1
moyen	1	sport	6
moyen	0	cinéma	1
moyen	0	géographie	1
moyen	0	histoire	2
moyen	0	musique	7
moyen	0	science	3
moyen	0	sport	4
moyen	1	cinéma	6
moyen	1	géographie	6
moyen	1	histoire	3
moyen	1	musique	4
moyen	1	science	5
moyen	1	sport	7
science	0	science	11
science	1	science	14
science	0	science	13
science	1	science	12
sport	0	sport	5
sport	1	sport	22
sport	0	sport	10
sport	1	sport	20
cinema	0	cinéma	7
cinema	1	cinéma	14
cinema	0	cinéma	14
cinema	1	cinéma	10
difficile	0	cinéma	8
difficile	0	géographie	3
difficile	0	histoire	4
difficile	0	musique	7
difficile	0	science	6
difficile	0	sport	2
difficile	1	cinéma	2
difficile	1	géographie	3
difficile	1	histoire	2
difficile	1	musique	3
difficile	1	science	3
difficile	1	sport	2
difficile	0	cinéma	3
difficile	0	géographie	5
difficile	0	histoire	9
difficile	0	musique	8
difficile	0	science	7
difficile	0	sport	3
difficile	1	cinéma	3
difficile	1	géographie	2
difficile	1	histoire	4
difficile	1	science	1
difficile	1	sport	6
geographie	0	géographie	6
geographie	1	géographie	12
geographie	0	géographie	10
geographie	1	géographie	12
histoire	0	histoire	11
histoire	1	histoire	11
histoire	0	histoire	11
histoire	1	histoire	14
musique	0	musique	15
musique	1	musique	10
musique	0	musique	12
musique	1	musique	12
